trade_date,open,high,low,close,volume,mkt_cap
2015-05-18,28.0,30.54,28.0,30.54,21.0,207672.0
2015-05-19,33.59,33.59,33.59,33.59,15.0,228412.0
2015-05-20,36.95,36.95,36.95,36.95,12.0,251260.0
2015-05-21,40.65,40.65,40.65,40.65,25.0,276420.0
2015-05-22,44.72,44.72,44.72,44.72,18.0,304096.0
2015-05-25,49.19,49.19,49.19,49.19,28.0,334492.0
2015-05-26,54.11,54.11,54.11,54.11,17.0,367948.0
2015-05-27,59.52,59.52,59.52,59.52,58.0,404736.0
2015-05-28,65.47,65.47,65.47,65.47,67.0,445196.0
2015-05-29,72.02,72.02,72.02,72.02,145.0,489736.0
2015-06-01,79.22,79.22,79.22,79.22,31.0,538696.0
2015-06-02,87.14,87.14,87.14,87.14,101.0,592552.0
2015-06-03,95.85,95.85,95.85,95.85,377.69,651780.0
2015-06-04,105.44,105.44,105.44,105.44,587.0,716992.0
2015-06-05,115.98,115.98,115.98,115.98,379.5,788664.0
2015-06-08,127.58,127.58,127.58,127.58,1508.5,867544.0
2015-06-09,128.0,140.34,121.1,140.34,87989.04,954312.0
2015-06-10,154.37,154.37,154.37,154.37,3074.62,1049716.0
2015-06-11,169.81,169.81,169.81,169.81,264.0,1154708.0
2015-06-12,186.79,186.79,182.05,186.79,42971.26,1270172.0
2015-06-15,170.1,183.98,168.11,168.11,38062.92,1143148.0
2015-06-16,165.0,184.92,162.0,166.02,58538.86,1128936.0
2015-06-17,163.03,181.8,162.93,176.9,42534.75,1202920.0
2015-06-18,170.5,172.0,159.21,159.21,41189.56,1082628.0
2015-06-19,151.0,162.9,145.0,145.08,27089.05,986544.0
2015-06-23,149.5,159.59,149.0,159.59,34286.55,1085212.0
2015-06-24,164.0,164.8,143.63,147.49,49325.93,1002932.0
2015-06-25,145.0,152.09,141.42,142.0,25250.57,965600.0
2015-06-26,140.02,143.99,127.8,127.8,18613.34,869040.0
2015-06-29,121.0,138.0,115.02,132.0,41570.67,897600.0
2015-06-30,130.0,145.2,125.01,145.2,27132.3,987360.0
2015-07-01,140.3,159.68,140.15,143.0,27325.3,972400.0
2015-07-02,138.58,140.0,128.7,128.7,18918.17,875160.0
2015-07-03,116.0,134.6,115.83,115.83,25370.89,787644.0
2015-07-06,127.41,127.41,104.25,104.25,28667.82,708900.0
2015-07-07,95.9,97.99,93.83,93.83,7623.0,638044.0
2015-07-08,84.45,100.0,84.45,84.45,38675.65,574260.0
2015-07-09,87.95,92.9,86.52,92.9,25140.06,631720.0
2015-07-10,102.19,102.19,102.19,102.19,1029.6,694892.0
2015-07-13,112.41,112.41,112.41,112.41,581.39,764388.0
2015-07-14,123.65,123.65,120.0,123.65,30449.18,840820.0
2015-07-15,119.01,122.0,111.29,111.29,26215.86,756772.0
2015-07-16,105.0,122.02,102.17,114.87,20573.91,781116.0
2015-07-17,117.07,124.12,117.01,122.5,19637.82,833000.0
2015-07-20,121.18,127.0,119.11,123.07,17866.88,836876.0
2015-07-21,120.1,135.38,118.0,135.38,21552.86,920584.0
2015-07-22,138.3,148.92,135.45,148.92,37369.62,1012656.0
2015-07-23,163.81,163.81,158.01,163.81,23838.48,1113908.0
2015-07-24,170.2,180.19,170.2,170.9,32135.05,1162120.0
2015-07-27,161.0,183.82,160.0,162.0,31272.93,1101600.0
2015-07-28,152.0,178.2,147.88,173.6,28559.36,1180480.0
2015-07-29,175.5,178.36,156.24,168.17,34882.86,1143556.0
2015-07-30,162.86,166.5,151.6,152.33,19959.6,1035844.0
2015-07-31,153.25,163.5,144.13,148.99,21519.51,1013132.0
2015-08-03,142.0,144.7,134.09,134.1,19543.09,911880.0
2015-08-04,136.0,147.51,134.0,147.51,21391.32,1003068.0
2015-08-05,149.98,162.26,147.7,154.28,28729.74,1049104.0
2015-08-06,149.94,169.71,140.18,169.71,25792.73,1154028.0
2015-08-07,176.42,179.87,163.5,169.5,25181.68,1152600.0
2015-08-10,166.88,185.48,166.88,177.66,21683.12,1208088.0
2015-08-11,176.32,195.43,176.16,193.0,22676.82,1312400.0
2015-08-12,188.0,192.0,173.75,174.0,29368.24,1183200.0
2015-08-13,169.8,182.88,167.67,182.33,19205.94,1239844.0
2015-08-14,182.17,195.0,181.0,188.0,19750.95,1278400.0
2015-08-17,186.45,189.68,175.0,176.01,11985.03,1196868.0
2015-08-18,175.0,181.56,158.41,158.41,16961.27,1077188.0
2015-08-19,153.03,169.49,148.45,168.99,22321.26,1149132.0
2015-08-20,164.02,166.43,153.5,153.64,14288.74,1044752.0
2015-08-21,149.08,151.98,141.58,144.0,17376.97,979200.0
2015-08-24,136.0,138.0,129.6,129.6,16823.46,881280.0
2015-08-25,118.1,136.78,116.64,124.05,30076.45,843540.0
2015-08-26,125.5,136.46,123.52,132.98,28581.83,904264.0
2015-08-27,134.5,141.0,128.0,137.51,21702.66,935068.0
2015-08-28,141.64,143.58,132.69,142.11,19732.11,966348.0
2015-08-31,138.0,140.82,129.6,131.0,12990.84,890800.0
2015-09-01,127.0,127.07,117.9,117.9,13167.92,801720.0
2015-09-02,109.0,129.49,107.0,115.2,15234.98,783360.0
2015-09-07,119.99,126.72,111.12,118.6,26582.57,806480.0
2015-09-08,115.0,129.98,114.52,127.1,19167.72,864280.0
2015-09-09,129.99,139.81,129.5,139.81,26269.23,950708.0
2015-09-10,69.98,74.79,68.8,70.7,43422.89,961520.0
2015-09-11,69.07,71.25,67.49,69.33,27552.65,942888.0
2015-09-14,69.62,70.38,62.4,62.4,22370.15,848640.0
2015-09-15,58.0,60.4,56.16,56.16,25834.93,763776.0
2015-09-16,57.01,61.78,55.58,61.78,36990.41,840208.0
2015-09-17,62.5,65.77,59.4,59.58,46082.52,810288.0
2015-09-18,59.61,64.9,59.59,62.32,25943.79,847552.0
2015-09-21,61.3,68.55,60.46,68.55,41839.86,932280.0
2015-09-22,71.9,75.2,71.6,72.27,60188.83,982872.0
2015-09-23,70.41,78.05,69.8,74.67,40692.2,1015512.0
2015-09-24,74.19,76.98,71.3,72.1,34699.38,980560.0
2015-09-25,71.95,73.9,67.16,67.58,21716.9,919088.0
2015-09-28,67.97,74.34,66.9,74.34,35210.84,1011024.0
2015-09-29,72.1,77.87,72.1,75.39,37096.11,1025304.0
2015-09-30,77.47,80.0,76.8,77.7,31121.8,1056720.0
2015-10-08,82.2,85.4,79.2,79.8,31631.9,1085280.0
2015-10-09,78.19,83.43,78.19,83.0,26195.2,1128800.0
2015-10-12,83.09,89.93,83.09,84.88,39550.19,1154368.0
2015-10-13,83.0,84.45,81.02,83.3,31680.65,1132880.0
2015-10-14,84.98,86.85,80.71,81.45,30527.52,1107720.0
2015-10-15,80.22,89.6,80.22,89.6,39774.81,1218560.0
2015-10-16,93.73,95.5,86.96,87.3,61241.01,1187280.0
2015-10-19,87.37,92.0,85.02,90.1,55607.87,1225360.0
2015-10-20,89.27,99.0,88.0,96.15,55863.23,1307640.0
2015-10-21,95.0,100.99,87.52,91.0,69295.94,1237600.0
2015-10-22,92.0,95.02,88.5,94.7,48038.85,1287920.0
2015-10-23,95.01,96.68,89.95,93.5,49407.8,1271600.0
2015-10-26,94.0,99.0,90.5,96.46,46758.11,1311856.0
2015-10-27,93.92,95.08,90.0,94.33,36937.54,1282888.0
2015-10-28,94.74,96.98,90.0,90.4,36247.19,1229440.0
2015-10-29,92.9,92.9,86.68,90.05,31446.57,1224680.0
2015-10-30,89.0,91.0,85.5,88.95,25448.5,1209720.0
2015-11-02,86.1,96.0,86.1,91.0,38250.3,1237600.0
2015-11-03,89.99,92.0,87.8,88.88,29029.18,1208768.0
2015-11-04,90.07,96.07,90.07,95.69,39256.51,1301384.0
2015-11-05,96.03,104.95,95.72,96.3,50856.87,1309680.0
2015-11-06,95.0,104.23,95.0,102.5,46845.79,1394000.0
2015-11-09,100.48,112.75,99.98,111.18,57813.41,1512048.0
2015-11-10,108.0,115.86,106.5,112.5,46198.34,1530000.0
2015-11-11,114.69,117.0,109.0,115.0,41818.97,1564000.0
2015-11-12,117.18,118.8,110.38,113.5,36276.85,1543600.0
2015-11-13,110.01,111.0,102.5,102.93,48527.89,1399848.0
2015-11-16,100.0,106.4,98.89,105.06,23267.83,1428816.0
2015-11-17,107.35,109.8,100.58,101.34,28205.26,1378224.0
2015-11-18,101.46,101.87,95.5,96.99,29824.1,1319064.0
2015-11-19,97.8,103.77,96.65,103.0,28565.63,1400800.0
2015-11-20,102.0,102.98,98.05,99.9,29681.16,1358640.0
2015-11-23,98.2,102.8,97.0,98.2,24043.3,1335520.0
2015-11-24,98.2,102.49,98.0,101.97,28812.68,1386792.0
2015-11-25,100.88,106.2,99.0,104.31,33058.52,1418616.0
2015-11-26,104.86,106.0,98.57,98.57,32677.28,1340552.0
2015-11-27,97.6,97.6,88.71,90.0,37000.43,1224000.0
2015-11-30,90.0,94.53,86.69,93.39,28524.49,1270104.0
2015-12-01,93.0,95.37,92.0,94.4,27007.19,1283840.0
2015-12-02,93.5,93.5,84.98,90.0,21018.3,1224000.0
2015-12-03,89.77,93.44,89.77,92.48,14868.4,1257728.0
2015-12-04,91.8,92.7,88.72,90.5,24232.95,1230800.0
2015-12-07,90.6,93.7,88.5,92.3,22369.48,1255280.0
2015-12-08,92.02,92.02,89.0,90.13,19047.22,1225768.0
2015-12-09,92.0,99.14,91.72,94.95,58052.06,1291320.0
2015-12-10,92.4,93.0,88.18,90.45,39057.5,1230120.0
2015-12-11,90.54,90.98,85.5,85.51,26823.72,1162936.0
2015-12-14,83.5,87.5,82.66,87.0,18462.4,1183200.0
2015-12-15,87.9,93.09,87.8,92.0,33450.82,1251200.0
2015-12-16,92.44,94.18,90.93,92.18,25238.34,1253648.0
2015-12-17,94.25,101.4,94.25,101.4,63579.41,1379040.0
2015-12-18,100.1,105.44,100.0,101.52,48332.29,1380672.0
2015-12-21,103.1,111.0,103.09,109.28,43262.87,1486208.0
2015-12-22,108.4,113.8,105.75,111.2,32267.85,1512320.0
2015-12-23,110.0,110.48,106.28,108.87,21573.53,1480632.0
2015-12-24,107.0,108.53,101.54,104.9,18504.86,1426640.0
2015-12-25,105.9,109.8,105.1,105.96,15488.03,1441056.0
2015-12-28,106.15,110.8,103.03,103.25,23846.73,1404200.0
2015-12-29,103.1,105.15,99.2,102.6,26300.6,1395360.0
2015-12-30,102.95,108.65,102.2,106.1,18797.15,1442960.0
2015-12-31,106.81,106.86,99.0,99.39,23845.68,1351704.0
2016-01-04,102.0,103.3,94.42,94.71,22238.13,1288056.0
2016-01-05,90.98,99.99,90.95,98.2,29136.39,1335520.0
2016-01-06,98.5,98.9,93.52,98.26,26309.66,1336336.0
2016-01-07,94.0,94.8,88.43,88.43,9342.0,1202648.0
2016-01-08,89.5,91.9,84.0,89.5,20117.85,1217200.0
2016-01-11,87.5,90.9,80.55,80.55,21579.78,1095480.0
2016-01-12,80.3,82.4,75.0,78.41,25522.88,1066376.0
2016-01-13,80.02,83.0,75.5,79.34,24216.12,1079024.0
2016-01-14,76.0,85.12,75.01,84.7,21678.35,1151920.0
2016-01-15,84.0,85.0,79.2,79.4,17531.74,1079840.0
2016-01-18,76.21,83.98,76.21,82.21,18193.26,1118056.0
2016-01-19,82.21,85.98,81.14,85.04,13747.6,1156544.0
2016-01-20,84.21,87.49,83.01,83.6,13859.36,1136960.0
2016-01-21,81.48,84.6,75.24,75.24,22575.82,1023264.0
2016-01-22,76.8,77.5,74.02,76.69,16281.5,1042984.0
2016-01-25,77.4,78.73,75.5,75.98,13055.68,1033328.0
2016-01-26,74.66,74.66,68.38,68.38,23083.68,929968.0
2016-01-27,75.22,75.22,74.0,75.22,71394.85,1022992.0
2016-01-28,74.0,82.2,71.6,77.47,69558.29,1053592.0
2016-01-29,75.58,85.2,74.61,81.75,46189.89,1111800.0
2016-02-01,81.0,81.43,76.63,78.37,40250.05,1065832.0
2016-02-02,79.5,83.0,78.88,81.19,31187.19,1104184.0
2016-02-03,79.58,86.0,79.51,84.99,43995.95,1155864.0
2016-02-04,84.9,89.4,84.18,88.4,41732.26,1202240.0
2016-02-05,88.0,89.76,86.2,87.61,28191.68,1191496.0
2016-02-15,85.0,96.37,85.0,96.37,36389.87,1310632.0
2016-02-16,96.51,102.78,95.43,100.93,38226.53,1372648.0
2016-02-17,105.0,111.02,103.0,111.02,70116.68,1509872.0
2016-02-18,117.7,122.12,114.0,122.12,80894.04,1660832.0
2016-02-19,119.6,123.3,116.3,116.7,80510.56,1587120.0
