,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
175,2026-06-15,000300,沪深300,CSI 300,600760,中航沈飞,AVIC SHENYANG AIRCRAFT COMPANY LIMITED,上海证券交易所,Shanghai Stock Exchange
176,2026-06-15,000300,沪深300,CSI 300,600795,国电电力,GD Power Development Co Ltd,上海证券交易所,Shanghai Stock Exchange
177,2026-06-15,000300,沪深300,CSI 300,600803,新奥股份,"ENN Ecological Holdings Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
178,2026-06-15,000300,沪深300,CSI 300,600809,山西汾酒,Shanxi Xinghuacun Fen Wine Factory Co Ltd,上海证券交易所,Shanghai Stock Exchange
179,2026-06-15,000300,沪深300,CSI 300,600845,宝信软件,Shanghai Baosight Software Co Ltd,上海证券交易所,Shanghai Stock Exchange
180,2026-06-15,000300,沪深300,CSI 300,600875,东方电气,Dongfang Electric Corporation Limited,上海证券交易所,Shanghai Stock Exchange
181,2026-06-15,000300,沪深300,CSI 300,600886,国投电力,"SDIC Power Holdings Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
182,2026-06-15,000300,沪深300,CSI 300,600887,伊利股份,Inner Mongolia Yili Industrial Group Co Ltd,上海证券交易所,Shanghai Stock Exchange
183,2026-06-15,000300,沪深300,CSI 300,600893,航发动力,AVIC AVIATION ENGINE CORPORATION PLC.,上海证券交易所,Shanghai Stock Exchange
184,2026-06-15,000300,沪深300,CSI 300,600900,长江电力,China Yangtze Power Co Ltd,上海证券交易所,Shanghai Stock Exchange
185,2026-06-15,000300,沪深300,CSI 300,600905,三峡能源,"China Three Gorges Renewables (Group) Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
186,2026-06-15,000300,沪深300,CSI 300,600918,中泰证券,"ZHONGTAI SECURITIES CO., LTD.",上海证券交易所,Shanghai Stock Exchange
187,2026-06-15,000300,沪深300,CSI 300,600919,江苏银行,"Bank of Jiangsu Co., Ltd",上海证券交易所,Shanghai Stock Exchange
188,2026-06-15,000300,沪深300,CSI 300,600926,杭州银行,"BANK OF HANGZHOU CO., LTD",上海证券交易所,Shanghai Stock Exchange
189,2026-06-15,000300,沪深300,CSI 300,600930,华电新能,Huadian New Energy Group Corporation Limited,上海证券交易所,Shanghai Stock Exchange
190,2026-06-15,000300,沪深300,CSI 300,600938,中国海油,CNOOC Limited,上海证券交易所,Shanghai Stock Exchange
191,2026-06-15,000300,沪深300,CSI 300,600941,中国移动,China Mobile Limited,上海证券交易所,Shanghai Stock Exchange
192,2026-06-15,000300,沪深300,CSI 300,600958,东方证券,ORIENT SECURITIES COMPANY LIMITED,上海证券交易所,Shanghai Stock Exchange
193,2026-06-15,000300,沪深300,CSI 300,600989,宝丰能源,"Ningxia Baofeng Energy Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
194,2026-06-15,000300,沪深300,CSI 300,600999,招商证券,China Merchants Securities Co Ltd,上海证券交易所,Shanghai Stock Exchange
195,2026-06-15,000300,沪深300,CSI 300,601006,大秦铁路,Daqin Railway Co Ltd,上海证券交易所,Shanghai Stock Exchange
196,2026-06-15,000300,沪深300,CSI 300,601009,南京银行,Bank of Nanjing Co Ltd,上海证券交易所,Shanghai Stock Exchange
197,2026-06-15,000300,沪深300,CSI 300,601012,隆基绿能,"Longi Green Energy Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
198,2026-06-15,000300,沪深300,CSI 300,601018,宁波港,Ningbo Port Co Ltd,上海证券交易所,Shanghai Stock Exchange
199,2026-06-15,000300,沪深300,CSI 300,601021,春秋航空,"Spring Airlines Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
200,2026-06-15,000300,沪深300,CSI 300,601058,赛轮轮胎,"Sailun Group Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
201,2026-06-15,000300,沪深300,CSI 300,601059,信达证券,"CINDA SECURITIES CO., LTD.",上海证券交易所,Shanghai Stock Exchange
202,2026-06-15,000300,沪深300,CSI 300,601066,中信建投,"China Securities Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
203,2026-06-15,000300,沪深300,CSI 300,601077,渝农商行,"Chongqing Rural Commercial Bank Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
204,2026-06-15,000300,沪深300,CSI 300,601088,中国神华,China Shenhua Energy Co Ltd,上海证券交易所,Shanghai Stock Exchange
205,2026-06-15,000300,沪深300,CSI 300,601100,恒立液压,"Jiangsu Hengli Hydraulic CO., Ltd.",上海证券交易所,Shanghai Stock Exchange
206,2026-06-15,000300,沪深300,CSI 300,601111,中国国航,Air China Ltd,上海证券交易所,Shanghai Stock Exchange
207,2026-06-15,000300,沪深300,CSI 300,601117,中国化学,China National Chemical Engineering Co Ltd,上海证券交易所,Shanghai Stock Exchange
208,2026-06-15,000300,沪深300,CSI 300,601127,赛力斯,"Seres Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
209,2026-06-15,000300,沪深300,CSI 300,601136,首创证券,Capital Securities Corporation Limited,上海证券交易所,Shanghai Stock Exchange
210,2026-06-15,000300,沪深300,CSI 300,601138,工业富联,"Foxconn Industrial Internet Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
211,2026-06-15,000300,沪深300,CSI 300,601166,兴业银行,Industrial Bank,上海证券交易所,Shanghai Stock Exchange
212,2026-06-15,000300,沪深300,CSI 300,601169,北京银行,Bank of Beijing Co Ltd,上海证券交易所,Shanghai Stock Exchange
213,2026-06-15,000300,沪深300,CSI 300,601186,中国铁建,China Railway Construction Co Ltd,上海证券交易所,Shanghai Stock Exchange
214,2026-06-15,000300,沪深300,CSI 300,601211,国泰海通,"GUOTAI HAITONG SECURITIES CO., LTD.",上海证券交易所,Shanghai Stock Exchange
215,2026-06-15,000300,沪深300,CSI 300,601225,陕西煤业,Shaanxi Coal Industry Company Limited,上海证券交易所,Shanghai Stock Exchange
216,2026-06-15,000300,沪深300,CSI 300,601229,上海银行,"Bank of Shanghai Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
217,2026-06-15,000300,沪深300,CSI 300,601238,广汽集团,"Guangzhou Automobile Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
218,2026-06-15,000300,沪深300,CSI 300,601288,农业银行,Agricultural Bank of China Co Ltd,上海证券交易所,Shanghai Stock Exchange
219,2026-06-15,000300,沪深300,CSI 300,601318,中国平安,Ping An Insurance (Group) Company of China Ltd,上海证券交易所,Shanghai Stock Exchange
220,2026-06-15,000300,沪深300,CSI 300,601319,中国人保,The People's Insurance Company (Group) of China Limited,上海证券交易所,Shanghai Stock Exchange
221,2026-06-15,000300,沪深300,CSI 300,601328,交通银行,Bank of Communications Co LTD,上海证券交易所,Shanghai Stock Exchange
222,2026-06-15,000300,沪深300,CSI 300,601336,新华保险,New China Life Insurance Co Ltd,上海证券交易所,Shanghai Stock Exchange
223,2026-06-15,000300,沪深300,CSI 300,601360,三六零,360 Security Technology Inc.,上海证券交易所,Shanghai Stock Exchange
224,2026-06-15,000300,沪深300,CSI 300,601377,兴业证券,Industrial Securities Co Ltd,上海证券交易所,Shanghai Stock Exchange
225,2026-06-15,000300,沪深300,CSI 300,601390,中国中铁,China Railway Group Limited,上海证券交易所,Shanghai Stock Exchange
226,2026-06-15,000300,沪深300,CSI 300,601398,工商银行,Industrial and Commercial Bank of China Ltd,上海证券交易所,Shanghai Stock Exchange
227,2026-06-15,000300,沪深300,CSI 300,601456,国联民生,Guolian Minsheng Securities Company Limited,上海证券交易所,Shanghai Stock Exchange
228,2026-06-15,000300,沪深300,CSI 300,601600,中国铝业,Aluminum Corporation of China Limited,上海证券交易所,Shanghai Stock Exchange
229,2026-06-15,000300,沪深300,CSI 300,601601,中国太保,China Pacific Insurance (Group) Co Ltd,上海证券交易所,Shanghai Stock Exchange
230,2026-06-15,000300,沪深300,CSI 300,601607,上海医药,"Shanghai Pharmaceuticals Holding Co.,Ltd",上海证券交易所,Shanghai Stock Exchange
231,2026-06-15,000300,沪深300,CSI 300,601618,中国中冶,Metallurgical Corporation of China Co Ltd,上海证券交易所,Shanghai Stock Exchange
232,2026-06-15,000300,沪深300,CSI 300,601628,中国人寿,China Life Insurance Company Limited,上海证券交易所,Shanghai Stock Exchange
233,2026-06-15,000300,沪深300,CSI 300,601633,长城汽车,Great Wall Motor Co Ltd,上海证券交易所,Shanghai Stock Exchange
234,2026-06-15,000300,沪深300,CSI 300,601658,邮储银行,"POSTAL SAVINGS BANK OF CHINA CO., LTD.",上海证券交易所,Shanghai Stock Exchange
235,2026-06-15,000300,沪深300,CSI 300,601668,中国建筑,China State Construction Engineering Co Ltd,上海证券交易所,Shanghai Stock Exchange
236,2026-06-15,000300,沪深300,CSI 300,601669,中国电建,"Power Construction Corporation of China,Ltd",上海证券交易所,Shanghai Stock Exchange
237,2026-06-15,000300,沪深300,CSI 300,601688,华泰证券,Huatai Securities Co Ltd,上海证券交易所,Shanghai Stock Exchange
238,2026-06-15,000300,沪深300,CSI 300,601689,拓普集团,"Ningbo Tuopu Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
239,2026-06-15,000300,沪深300,CSI 300,601698,中国卫通,"China Satellite Communications Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
240,2026-06-15,000300,沪深300,CSI 300,601727,上海电气,Shanghai Electric Group Co Ltd,上海证券交易所,Shanghai Stock Exchange
241,2026-06-15,000300,沪深300,CSI 300,601728,中国电信,China Telecom Corporation Limited,上海证券交易所,Shanghai Stock Exchange
242,2026-06-15,000300,沪深300,CSI 300,601766,中国中车,CRRC Corporation Limited,上海证券交易所,Shanghai Stock Exchange
243,2026-06-15,000300,沪深300,CSI 300,601788,光大证券,Everbright Securities Co Ltd,上海证券交易所,Shanghai Stock Exchange
244,2026-06-15,000300,沪深300,CSI 300,601800,中国交建,China Communications Construction Company Limited,上海证券交易所,Shanghai Stock Exchange
245,2026-06-15,000300,沪深300,CSI 300,601816,京沪高铁,"Beijing-Shanghai High Speed Railway Co.,Ltd",上海证券交易所,Shanghai Stock Exchange
246,2026-06-15,000300,沪深300,CSI 300,601818,光大银行,China Everbright Bank Co Ltd,上海证券交易所,Shanghai Stock Exchange
247,2026-06-15,000300,沪深300,CSI 300,601825,沪农商行,"Shanghai Rural Commercial Bank Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
248,2026-06-15,000300,沪深300,CSI 300,601838,成都银行,"BANK OF CHENGDU CO., LTD.",上海证券交易所,Shanghai Stock Exchange
249,2026-06-15,000300,沪深300,CSI 300,601857,中国石油,PetroChina Co Ltd,上海证券交易所,Shanghai Stock Exchange
250,2026-06-15,000300,沪深300,CSI 300,601868,中国能建,China Energy Engineering Corporation Limited,上海证券交易所,Shanghai Stock Exchange
251,2026-06-15,000300,沪深300,CSI 300,601872,招商轮船,"China Merchants Energy Shipping Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
252,2026-06-15,000300,沪深300,CSI 300,601877,正泰电器,Zhejiang Chint Electrics Co Ltd,上海证券交易所,Shanghai Stock Exchange
253,2026-06-15,000300,沪深300,CSI 300,601878,浙商证券,"ZHESHANG SECURITIES CO., LTD.",上海证券交易所,Shanghai Stock Exchange
254,2026-06-15,000300,沪深300,CSI 300,601881,中国银河,"China Galaxy Securities Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
255,2026-06-15,000300,沪深300,CSI 300,601888,中国中免,China Tourism Group Duty Free Corporation Limited,上海证券交易所,Shanghai Stock Exchange
256,2026-06-15,000300,沪深300,CSI 300,601898,中煤能源,China Coal Energy Co Ltd,上海证券交易所,Shanghai Stock Exchange
257,2026-06-15,000300,沪深300,CSI 300,601899,紫金矿业,Zijin Mining Group Co Ltd,上海证券交易所,Shanghai Stock Exchange
258,2026-06-15,000300,沪深300,CSI 300,601901,方正证券,Founder Securities Co Ltd,上海证券交易所,Shanghai Stock Exchange
259,2026-06-15,000300,沪深300,CSI 300,601916,浙商银行,"CHINA ZHESHANG BANK CO.,LTD",上海证券交易所,Shanghai Stock Exchange
260,2026-06-15,000300,沪深300,CSI 300,601919,中远海控,"COSCO SHIPPING Holdings Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
261,2026-06-15,000300,沪深300,CSI 300,601939,建设银行,China Construction Bank,上海证券交易所,Shanghai Stock Exchange
262,2026-06-15,000300,沪深300,CSI 300,601985,中国核电,"China National Nuclear Power Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
263,2026-06-15,000300,沪深300,CSI 300,601988,中国银行,Bank of China Ltd,上海证券交易所,Shanghai Stock Exchange
264,2026-06-15,000300,沪深300,CSI 300,601995,中金公司,China International Capital Corporation Limited,上海证券交易所,Shanghai Stock Exchange
265,2026-06-15,000300,沪深300,CSI 300,601998,中信银行,China Citic Bank Corporation Limited,上海证券交易所,Shanghai Stock Exchange
266,2026-06-15,000300,沪深300,CSI 300,603019,中科曙光,"Dawning Information Industry Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
267,2026-06-15,000300,沪深300,CSI 300,603259,药明康德,"WuXi AppTec Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
268,2026-06-15,000300,沪深300,CSI 300,603260,合盛硅业,"HOSHINE SILICON INDUSTRY CO.,LTD",上海证券交易所,Shanghai Stock Exchange
269,2026-06-15,000300,沪深300,CSI 300,603288,海天味业,Foshan Haitian Flavouring and Food Company Ltd.,上海证券交易所,Shanghai Stock Exchange
270,2026-06-15,000300,沪深300,CSI 300,603296,华勤技术,"Huaqin Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
271,2026-06-15,000300,沪深300,CSI 300,603369,今世缘,"Jiangsu King's Luck Brewery Joint-Stock Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
272,2026-06-15,000300,沪深300,CSI 300,603392,万泰生物,"BEIJING WANTAI BIOLOGICAL PHARMACY ENTERPRISE CO., LTD.",上海证券交易所,Shanghai Stock Exchange
273,2026-06-15,000300,沪深300,CSI 300,603501,豪威集团,"Omni Vision Integrated Circuits Group, Inc.",上海证券交易所,Shanghai Stock Exchange
274,2026-06-15,000300,沪深300,CSI 300,603799,华友钴业,"ZHEJIANG HUAYOU COBALT CO., LTD.",上海证券交易所,Shanghai Stock Exchange
275,2026-06-15,000300,沪深300,CSI 300,603893,瑞芯微,"Fuzhou Rockchip Electronics Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
276,2026-06-15,000300,沪深300,CSI 300,603986,兆易创新,GigaDevice Semiconductor (Beijing) Inc.,上海证券交易所,Shanghai Stock Exchange
277,2026-06-15,000300,沪深300,CSI 300,603993,洛阳钼业,"China Molybdenum Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
278,2026-06-15,000300,沪深300,CSI 300,605117,德业股份,"Ningbo Deye Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
279,2026-06-15,000300,沪深300,CSI 300,605499,东鹏饮料,"Eastroc Beverage (Group) Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
280,2026-06-15,000300,沪深300,CSI 300,688008,澜起科技,"Montage Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
281,2026-06-15,000300,沪深300,CSI 300,688009,中国通号,China Railway Signal & Communication Corporation Limited,上海证券交易所,Shanghai Stock Exchange
282,2026-06-15,000300,沪深300,CSI 300,688012,中微公司,Advanced Micro-Fabrication Equipment Inc. China,上海证券交易所,Shanghai Stock Exchange
283,2026-06-15,000300,沪深300,CSI 300,688036,传音控股,"SHENZHEN TRANSSION HOLDINGS CO., LTD.",上海证券交易所,Shanghai Stock Exchange
284,2026-06-15,000300,沪深300,CSI 300,688041,海光信息,"Hygon Information Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
285,2026-06-15,000300,沪深300,CSI 300,688047,龙芯中科,Loongson Technology Corporation Limited,上海证券交易所,Shanghai Stock Exchange
286,2026-06-15,000300,沪深300,CSI 300,688072,拓荆科技,Piotech Inc.,上海证券交易所,Shanghai Stock Exchange
287,2026-06-15,000300,沪深300,CSI 300,688082,盛美上海,"ACM Research (Shanghai) ,Inc.",上海证券交易所,Shanghai Stock Exchange
288,2026-06-15,000300,沪深300,CSI 300,688111,金山办公,"Beijing Kingsoft Office Software, Inc.",上海证券交易所,Shanghai Stock Exchange
289,2026-06-15,000300,沪深300,CSI 300,688126,沪硅产业,"National Silicon Industry Group Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
290,2026-06-15,000300,沪深300,CSI 300,688183,生益电子,"SHENGYI ELECTRONICS CO., LTD.",上海证券交易所,Shanghai Stock Exchange
291,2026-06-15,000300,沪深300,CSI 300,688223,晶科能源,"Jinko Solar Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
292,2026-06-15,000300,沪深300,CSI 300,688256,寒武纪,Cambricon Technologies Corporation Limited,上海证券交易所,Shanghai Stock Exchange
293,2026-06-15,000300,沪深300,CSI 300,688271,联影医疗,"Shanghai United Imaging Healthcare Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
294,2026-06-15,000300,沪深300,CSI 300,688303,大全能源,"XinJiang Daqo New Energy Co.,Ltd",上海证券交易所,Shanghai Stock Exchange
295,2026-06-15,000300,沪深300,CSI 300,688396,华润微,China Resources Microelectronics Limited,上海证券交易所,Shanghai Stock Exchange
296,2026-06-15,000300,沪深300,CSI 300,688472,阿特斯,"CSI Solar Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
297,2026-06-15,000300,沪深300,CSI 300,688506,百利天恒,"Sichuan Biokin Pharmaceutical Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
298,2026-06-15,000300,沪深300,CSI 300,688521,芯原股份,"VeriSilicon Microelectronics (Shanghai) Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
299,2026-06-15,000300,沪深300,CSI 300,688981,中芯国际,Semiconductor Manufacturing International Corporation,上海证券交易所,Shanghai Stock Exchange
