,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
41,2026-06-15,000300,沪深300,CSI 300,002050,三花智控,"ZHEJIANG SANHUA INTELLIGENT CONTROLS CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
42,2026-06-15,000300,沪深300,CSI 300,002074,国轩高科,"GUOXUAN HIGH-TECH CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
43,2026-06-15,000300,沪深300,CSI 300,002142,宁波银行,Bank of Ningbo Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
44,2026-06-15,000300,沪深300,CSI 300,002179,中航光电,"Jonhon Optronic Technology Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
45,2026-06-15,000300,沪深300,CSI 300,002202,金风科技,"GOLDWIND SCIENCE & TECHNOLOGY CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
46,2026-06-15,000300,沪深300,CSI 300,002230,科大讯飞,"Iflytek Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
47,2026-06-15,000300,沪深300,CSI 300,002236,大华股份,Zhejiang Dahua Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
48,2026-06-15,000300,沪深300,CSI 300,002241,歌尔股份,GoerTek Inc,深圳证券交易所,Shenzhen Stock Exchange
49,2026-06-15,000300,沪深300,CSI 300,002304,洋河股份,Jiangsu Yanghe Brewery Joint-Stock Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
50,2026-06-15,000300,沪深300,CSI 300,002311,海大集团,Guangdong Haid Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
51,2026-06-15,000300,沪深300,CSI 300,002352,顺丰控股,"S.F. Holding Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
52,2026-06-15,000300,沪深300,CSI 300,002353,杰瑞股份,Yantai Jereh Oilfield Services Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
53,2026-06-15,000300,沪深300,CSI 300,002371,北方华创,"NAURA Technology Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
54,2026-06-15,000300,沪深300,CSI 300,002384,东山精密,Suzhou Dongshan Precision Manufacturing Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
55,2026-06-15,000300,沪深300,CSI 300,002415,海康威视,Hangzhou Hikvision Digital Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
56,2026-06-15,000300,沪深300,CSI 300,002422,科伦药业,Sichuan Kelun Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
57,2026-06-15,000300,沪深300,CSI 300,002460,赣锋锂业,Ganfeng Lithium Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
58,2026-06-15,000300,沪深300,CSI 300,002463,沪电股份,Wus Printed Circuit (Kunshan) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
